TopLeftLat,TopLeftLon,BottomRightLat,BottomRightLon,WeightPrice,WeightSqr,Price,PriceSqr,Hits,PointsForSqrPriceInterval,PointsForPriceInterval,PointsForZoom,PointsForDays,PointsForHits,PointsForDistance,SumPointsPrice,SumPointsSqr
59.415335,18.11395099999995,59.413335,18.11895099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.11895099999995,59.413335,18.12395099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.12395099999995,59.413335,18.128950999999947,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.128950999999947,59.413335,18.133950999999946,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.133950999999946,59.413335,18.138950999999945,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.138950999999945,59.413335,18.143950999999944,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.143950999999944,59.413335,18.148950999999943,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.148950999999943,59.413335,18.153950999999942,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.153950999999942,59.413335,18.15895099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.15895099999994,59.413335,18.16395099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.16395099999994,59.413335,18.16895099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.16895099999994,59.413335,18.17395099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.17395099999994,59.413335,18.178950999999937,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.178950999999937,59.413335,18.183950999999936,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.183950999999936,59.413335,18.188950999999935,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.188950999999935,59.413335,18.193950999999934,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.868951,59.411334999999994,17.873950999999998,1,1,2390000,46000,65,25,25,-60,-5,20,20,0,0
59.413335,17.873950999999998,59.411334999999994,17.878950999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.878950999999997,59.411334999999994,17.883950999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.883950999999996,59.411334999999994,17.888950999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.888950999999995,59.411334999999994,17.893950999999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.893950999999994,59.411334999999994,17.898950999999993,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.898950999999993,59.411334999999994,17.903950999999992,1,1,1740000,27000,6,35,35,-60,-5,10,20,0,0
59.413335,17.903950999999992,59.411334999999994,17.90895099999999,1,1,1830000,31000,26,15,30,-60,-5,20,20,5,-10
59.413335,17.90895099999999,59.411334999999994,17.91395099999999,1,1,1880000,33000,30,10,35,-60,-5,20,20,10,-15
59.413335,17.91395099999999,59.411334999999994,17.91895099999999,1,1,1950000,37000,25,30,30,-60,-5,20,20,5,5
59.413335,17.91895099999999,59.411334999999994,17.923950999999988,1,1,1850000,34000,39,15,25,-60,-5,20,20,0,-10
59.413335,17.923950999999988,59.411334999999994,17.928950999999987,4,4,1690000,31000,10,30,35,0,20,20,20,95,90
59.413335,17.928950999999987,59.411334999999994,17.933950999999986,1,1,1780000,33000,33,15,30,-60,-5,20,20,5,-10
59.413335,17.933950999999986,59.411334999999994,17.938950999999985,1,1,2270000,47000,3,40,40,-60,-5,0,20,-5,-5
59.413335,17.938950999999985,59.411334999999994,17.943950999999984,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.943950999999984,59.411334999999994,17.948950999999983,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.948950999999983,59.411334999999994,17.953950999999982,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.953950999999982,59.411334999999994,17.95895099999998,1,1,2540000,48000,5,15,-15,-60,-5,10,20,-50,-20
59.413335,17.95895099999998,59.411334999999994,17.96395099999998,1,1,2180000,38000,48,15,25,-60,-5,20,20,0,-10
59.413335,17.96395099999998,59.411334999999994,17.96895099999998,4,3,2000000,35000,15,10,30,0,10,20,20,80,60
59.413335,17.96895099999998,59.411334999999994,17.97395099999998,1,1,2440000,41000,22,10,10,-60,-5,20,20,-15,-15
59.413335,17.97395099999998,59.411334999999994,17.978950999999977,1,1,3400000,55000,1,40,40,-60,-5,-100,20,-105,-105
59.413335,17.978950999999977,59.411334999999994,17.983950999999976,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.983950999999976,59.411334999999994,17.988950999999975,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.988950999999975,59.411334999999994,17.993950999999974,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,17.993950999999974,59.411334999999994,17.998950999999973,1,1,2490000,44000,1,40,40,-60,-5,-100,20,-105,-105
59.413335,17.998950999999973,59.411334999999994,18.003950999999972,1,1,2610000,45000,5,40,30,-60,-5,10,20,-5,5
59.413335,18.003950999999972,59.411334999999994,18.00895099999997,1,1,2640000,45000,4,35,25,-60,-5,0,20,-20,-10
59.413335,18.00895099999997,59.411334999999994,18.01395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.01395099999997,59.411334999999994,18.01895099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.01895099999997,59.411334999999994,18.02395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.02395099999997,59.411334999999994,18.028950999999967,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.028950999999967,59.411334999999994,18.033950999999966,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.033950999999966,59.411334999999994,18.038950999999965,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.038950999999965,59.411334999999994,18.043950999999964,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.043950999999964,59.411334999999994,18.048950999999963,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.048950999999963,59.411334999999994,18.053950999999962,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.053950999999962,59.411334999999994,18.05895099999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.05895099999996,59.411334999999994,18.06395099999996,1,1,2870000,49000,2,15,15,-60,-5,-40,20,-70,-70
59.413335,18.06395099999996,59.411334999999994,18.06895099999996,1,1,2870000,49000,2,15,15,-60,-5,-40,20,-70,-70
59.413335,18.06895099999996,59.411334999999994,18.07395099999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.07395099999996,59.411334999999994,18.078950999999957,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.078950999999957,59.411334999999994,18.083950999999956,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.083950999999956,59.411334999999994,18.088950999999955,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.088950999999955,59.411334999999994,18.093950999999954,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.093950999999954,59.411334999999994,18.098950999999953,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.098950999999953,59.411334999999994,18.103950999999952,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.103950999999952,59.411334999999994,18.10895099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.10895099999995,59.411334999999994,18.11395099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.11395099999995,59.411334999999994,18.11895099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.11895099999995,59.411334999999994,18.12395099999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.12395099999995,59.411334999999994,18.128950999999947,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.128950999999947,59.411334999999994,18.133950999999946,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.133950999999946,59.411334999999994,18.138950999999945,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.138950999999945,59.411334999999994,18.143950999999944,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.143950999999944,59.411334999999994,18.148950999999943,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.148950999999943,59.411334999999994,18.153950999999942,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.153950999999942,59.411334999999994,18.15895099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.15895099999994,59.411334999999994,18.16395099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.16395099999994,59.411334999999994,18.16895099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.16895099999994,59.411334999999994,18.17395099999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.413335,18.17395099999994,59.411334999999994,18.178950999999937,0,0,0,0,0,0,0,0,0,0,0,0,0
