TopLeftLat,TopLeftLon,BottomRightLat,BottomRightLon,WeightPrice,WeightSqr,Price,PriceSqr,Hits,PointsForSqrPriceInterval,PointsForPriceInterval,PointsForZoom,PointsForDays,PointsForHits,PointsForDistance,SumPointsPrice,SumPointsSqr
59.415335,17.868951,59.410334999999996,17.873950999999998,4,4,2250000,46000,12,15,30,0,10,20,20,80,65
59.415335,17.873950999999998,59.410334999999996,17.878950999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.878950999999997,59.410334999999996,17.883950999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.883950999999996,59.410334999999996,17.888950999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.888950999999995,59.410334999999996,17.893950999999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.893950999999994,59.410334999999996,17.898950999999993,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.898950999999993,59.410334999999996,17.903950999999992,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.903950999999992,59.410334999999996,17.90895099999999,3,3,1820000,37000,6,35,30,0,-5,10,20,55,60
59.415335,17.90895099999999,59.410334999999996,17.91395099999999,4,4,1790000,36000,14,30,30,0,-5,20,20,65,65
59.415335,17.91395099999999,59.410334999999996,17.91895099999999,4,4,1860000,38000,16,30,30,0,-5,20,20,65,65
59.415335,17.91895099999999,59.410334999999996,17.923950999999988,3,3,1840000,38000,7,30,30,0,-5,10,20,55,55
59.415335,17.923950999999988,59.410334999999996,17.928950999999987,4,4,1710000,32000,11,30,35,0,20,20,20,95,90
59.415335,17.928950999999987,59.410334999999996,17.933950999999986,2,1,1950000,40000,9,-5,5,0,-5,10,20,30,20
59.415335,17.933950999999986,59.410334999999996,17.938950999999985,4,4,1950000,44000,11,30,30,0,-5,20,20,65,65
59.415335,17.938950999999985,59.410334999999996,17.943950999999984,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.943950999999984,59.410334999999996,17.948950999999983,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.948950999999983,59.410334999999996,17.953950999999982,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.953950999999982,59.410334999999996,17.95895099999998,1,2,2320000,47000,4,10,-10,0,-5,0,20,5,25
59.415335,17.95895099999998,59.410334999999996,17.96395099999998,3,3,2080000,36000,7,35,30,0,-5,10,20,55,60
59.415335,17.96395099999998,59.410334999999996,17.96895099999998,4,4,1940000,40000,11,30,30,0,10,20,20,80,80
59.415335,17.96895099999998,59.410334999999996,17.97395099999998,2,3,2520000,46000,4,40,25,0,-5,0,20,40,55
59.415335,17.97395099999998,59.410334999999996,17.978950999999977,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.978950999999977,59.410334999999996,17.983950999999976,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.983950999999976,59.410334999999996,17.988950999999975,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.988950999999975,59.410334999999996,17.993950999999974,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.993950999999974,59.410334999999996,17.998950999999973,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.998950999999973,59.410334999999996,18.003950999999972,3,3,2450000,44000,4,40,40,0,-5,0,20,55,55
59.415335,18.003950999999972,59.410334999999996,18.00895099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.00895099999997,59.410334999999996,18.01395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.01395099999997,59.410334999999996,18.01895099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.01895099999997,59.410334999999996,18.02395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.02395099999997,59.410334999999996,18.028950999999967,1,1,2300000,57000,1,40,40,0,-5,-100,20,-45,-45
59.415335,18.028950999999967,59.410334999999996,18.033950999999966,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.033950999999966,59.410334999999996,18.038950999999965,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.038950999999965,59.410334999999996,18.043950999999964,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.043950999999964,59.410334999999996,18.048950999999963,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.048950999999963,59.410334999999996,18.053950999999962,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.053950999999962,59.410334999999996,18.05895099999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.05895099999996,59.410334999999996,18.06395099999996,1,1,2450000,56000,1,40,40,0,-5,-100,20,-45,-45
59.415335,18.06395099999996,59.410334999999996,18.06895099999996,1,1,2870000,49000,2,15,15,0,-5,-40,20,-10,-10
59.415335,18.06895099999996,59.410334999999996,18.07395099999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.07395099999996,59.410334999999996,18.078950999999957,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.078950999999957,59.410334999999996,18.083950999999956,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.083950999999956,59.410334999999996,18.088950999999955,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.088950999999955,59.410334999999996,18.093950999999954,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.093950999999954,59.410334999999996,18.098950999999953,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.098950999999953,59.410334999999996,18.103950999999952,0,0,0,0,0,0,0,0,0,0,0,0,0
